index,date,north,east,individ,gender
SEP0152818,2020-09-18,7039009,561305,BI407001,Hona
SEP0152825,2020-09-26,7064430,634770,NRM_633,Hane
SEP0152831,2020-09-09,6951038,621333,NRM_1255,Hane
SEP0152832,2020-09-09,6944296,616080,NRM_1057,Hane
SEP0152834,2020-09-27,7077973,661118,NRM_727,Hane
SEP0152843,2020-10-09,7045996,646570,NRM_766,Hane
SEP0152852,2020-10-18,7062464,657139,NRM_1059,Hane
SEP0152899,2020-10-04,7032913,664001,NRM_843,Hane
SEP0152933,2020-09-27,7044212,639344,NRM_955,Hona
SEP0152942,2020-10-06,7054948,616447,BI406620,Hona
SEP0152998,2020-10-04,7031203,670192,NRM_843,Hane
SEP0153011,2020-10-13,7044361,638537,BI406709,Hona
SEP0153020,2020-10-17,7067446,673911,BI406615,Hona
SEP0153067,2020-10-10,7067940,648264,NRM_1018,Hona
SEP0153261,2020-09-19,6946114,534225,NRM_641,Hane
SEP0153582,2020-09-06,6963458,595845,NRM_771,Hona
SEP0153636,2020-10-18,7080875,640222,BI406572,Hona
SEP0153654,2020-09-03,7039313,552481,NRM_1526,Hona
SEP0153655,2020-09-05,7024983,573935,NRM_1054,Hona
SEP0153658,2020-08-23,7023391,577169,BI406651,Hona
SEP0153659,2020-09-03,7022139,574403,NRM_810,Hane
SEP0153661,2020-09-18,7096095,560937,BI407001,Hona
SEP0153663,2020-09-14,7022214,575264,NRM_734,Hona
SEP0153664,2020-08-24,7037198,558146,NRM_1474,Hona
SEP0153665,2020-10-17,7042716,581877,BI406500,Hona
SEP0153669,2020-08-21,7061963,555730,NRM_611,Hona
SEP0153670,2020-09-19,7049993,565719,BI406645,Hona
SEP0153675,2020-09-17,7038785,561969,BI407001,Hona
SEP0153676,2020-09-05,7020023,572386,NRM_1054,Hona
SEP0153677,2020-08-29,7051934,585108,NRM_662,Hane
SEP0153683,2020-10-04,7049527,570002,BI040898,Hona
SEP0153684,2020-09-03,7042881,541686,BI041493,Hane
SEP0153687,2020-08-27,7053764,561700,NRM_1502,Hona
SEP0153689,2020-09-08,7056031,555657,BI406594,Hona
SEP0153691,2020-08-27,7056920,553782,NRM_765,Hane
SEP0153692,2020-08-23,7038138,569391,BI406591,Hona
SEP0153693,2020-09-09,7039543,571598,NRM_1364,Hane
SEP0153694,2020-08-22,7038394,573631,BI406591,Hona
SEP0153696,2020-09-25,7040136,578201,NRM_745,Hane
SEP0153698,2020-10-03,7033579,574848,NRM_846,Hona
SEP0153699,2020-10-03,7048027,576401,BI406500,Hona
SEP0153898,2020-10-02,7054336,644483,NRM_700,Hona
SEP0153914,2020-10-17,7054964,618695,BI406620,Hona
SEP0153923,2020-09-27,7055797,648656,BI406589,Hona
SEP0153941,2020-10-02,7067948,662075,NRM_650,Hona
SEP0153979,2020-09-27,7044212,639344,NRM_636,Hane
SEP0153997,2020-10-01,7069692,662444,NRM_651,Hona
